Quyết định,188360
Nghị quyết,30709
Kế hoạch,23301
Thông tư,15067
Thông báo,13588
Chỉ thị,13438
Nghị định,5191
Văn bản khác,2608
Thông tư liên tịch,2605
Văn bản hợp nhất,2162
Hướng dẫn,1772
Báo cáo,1494
Điều ước quốc tế,1331
Công điện,1244
Sắc lệnh,997
Lệnh,526
Luật,486
Pháp lệnh,228
Văn bản WTO,68
Hiến pháp,5
