name,top5,top10,top20,top50,top100
tdidf,0.10002347969006808,0.18689833294200517,0.3204977694294435,0.5022305705564687,0.6609532754167645
bm25l,0.009861469828598262,0.029114815684432964,0.06856069499882601,0.19394223996243248,0.40220709086640055
bm25plus,0.065977929091336,0.12725992016905377,0.23808405729044377,0.4144165297018079,0.6076543789621976
bm25okapi,0.06527353838929326,0.1347734209908429,0.23479690068091102,0.4242779995304062,0.6114111293730923
tdidf_ws,0.10213665179619628,0.1878375205447288,0.3207325663301244,0.5088048837755341,0.6778586522657901
bm25l_ws,0.010800657431321907,0.03005400328715661,0.07396102371448697,0.20356891289034984,0.41864287391406435
bm25plus_ws,0.0852312749471707,0.15449636064803945,0.2702512326837286,0.44658370509509276,0.6311340690302888
bm25okapi_ws,0.08804883775534163,0.16130547076778587,0.27588635830007047,0.45362761211552005,0.6344212256398215
instructor-base,0.014557407842216482,0.02582765907490021,0.04578539563277765,0.09485794787508806,0.17140173749706503
instructor-large,0.008217891523831886,0.017140173749706503,0.03733270720826485,0.10518901150504813,0.20239492838694528
instructor-xl,0.020427330359239257,0.03639351960554121,0.06691711669405964,0.13970415590514204,0.24583235501291384
